# iter best_consensus archive_size party0_clusters party1_clusters
0 7.0262999921 0 12 12
10 7.0262999921 0 12 12
20 7.0262999921 0 12 12
30 7.0262999921 0 12 12
40 7.0262999921 0 12 12
50 7.0262999921 0 12 12
60 7.0262999921 0 12 12
70 7.0262999921 0 12 12
80 7.0262999921 0 12 12
90 7.0262999921 0 12 12
100 7.0262999921 0 12 12
110 7.0262999921 0 12 12
120 7.0262999921 0 12 12
130 7.0262999921 0 12 12
140 7.0262999921 0 12 12
150 7.0262999921 0 12 12
160 7.0262999921 0 12 12
170 7.0262999921 0 12 12
180 7.0262999921 0 12 12
190 7.0262999921 0 12 12
200 7.0262999921 0 12 12
210 7.0262999921 0 12 12
219 7.0262999921 0 12 12
