# iter best_consensus archive_size party0_clusters party1_clusters
0 81.8967834601 2 12 12
10 89.7929496472 5 12 12
20 89.9424402508 6 12 12
30 89.9956001221 6 12 12
40 89.9956001221 7 12 12
50 89.9969339486 7 12 12
60 89.9988058556 7 12 12
70 89.9993313062 7 12 12
80 89.9996305186 7 12 12
90 89.9998467572 7 12 12
100 89.9999952088 7 12 12
110 89.9999952088 7 12 12
120 89.9999970181 7 12 12
130 89.9999999456 7 12 12
140 89.9999999574 7 10 12
150 89.9999999574 7 12 12
160 89.9999999867 7 11 5
170 90.0000000000 7 9 3
180 90.0000000000 7 8 4
190 90.0000000000 7 5 3
200 90.0000000000 7 4 3
210 90.0000000000 8 4 3
219 90.0000000000 8 4 3
