# iter best_consensus archive_size party0_clusters party1_clusters
0 7.4433459458 0 12 12
10 12.1076756844 0 12 12
20 12.1076756844 0 12 12
30 12.1076756844 0 12 12
40 12.1076756844 0 12 12
50 78.2429180013 1 12 12
60 82.8572293783 2 12 12
70 88.3676060918 3 12 12
80 89.5185756010 4 12 12
90 89.6871616566 4 12 12
100 89.6871616566 4 12 12
110 89.8749078831 4 12 12
120 89.9839425075 4 12 10
130 89.9926163178 4 12 8
140 89.9949615010 4 12 7
150 89.9976091913 4 12 5
160 89.9996392681 4 12 7
170 89.9996392681 4 12 5
180 89.9996392681 4 12 4
190 89.9999426322 4 12 4
200 89.9999426322 4 12 4
210 89.9999467530 4 12 5
219 89.9999954879 5 12 3
