# generation best_consensus ca_size
0 64.680078 200
1 64.680078 200
2 65.127656 200
3 65.127656 200
4 65.127656 200
5 65.127656 200
6 67.033304 200
7 67.033304 200
8 67.033304 200
9 67.033304 200
10 67.033304 200
11 67.033304 200
12 67.033304 200
13 67.033304 200
14 67.033304 200
15 67.033304 200
16 67.033304 200
17 67.033304 200
18 67.033304 200
19 67.033304 200
20 69.768522 200
21 69.768522 200
22 69.768522 200
23 69.768522 200
24 69.768522 200
25 69.768522 200
26 69.768522 200
27 69.768522 200
28 69.768522 200
29 69.768522 200
30 69.768522 200
31 69.768522 200
32 69.768522 200
33 69.768522 200
34 69.768522 200
35 69.768522 200
36 69.768522 200
37 69.768522 200
38 69.768522 200
39 69.768522 200
40 69.768522 200
41 69.768522 200
42 69.768522 200
43 69.768522 200
44 69.768522 200
45 69.768522 200
46 69.768522 200
47 69.768522 200
48 69.768522 200
49 69.768522 200
50 69.768522 200
51 69.768522 200
52 69.768522 200
53 69.768522 200
54 69.768522 200
55 69.768522 200
56 69.768522 200
57 69.768522 200
58 69.768522 200
59 69.768522 200
60 69.768522 200
61 69.768522 200
62 69.768522 200
63 69.768522 200
64 69.768522 200
65 69.768522 200
66 69.768522 200
67 69.768522 200
68 69.768522 200
69 69.768522 200
70 69.768522 200
71 69.768522 200
72 69.768522 200
73 69.768522 200
74 69.768522 200
75 69.768522 200
76 69.768522 200
77 69.768522 200
78 69.768522 200
79 69.768522 200
80 69.768522 200
