# generation best_consensus ca_size
0 5.407024 18
1 5.407024 18
2 5.407024 18
3 7.760658 18
4 7.760658 18
5 7.760658 18
6 7.760658 18
7 7.760658 18
8 7.760658 18
9 7.760658 18
10 7.760658 18
11 7.760658 18
12 7.760658 18
13 7.760658 18
14 7.760658 18
15 7.760658 18
16 7.760658 18
17 7.760658 18
18 7.760658 18
19 7.760658 18
20 7.760658 18
21 7.760658 18
22 7.760658 18
23 7.760658 18
24 7.760658 18
25 7.760658 18
26 7.760658 18
27 7.760658 18
28 7.760658 18
29 7.760658 18
30 7.760658 18
31 7.760658 18
32 7.760658 18
33 7.760658 18
34 7.760658 18
35 7.760658 18
36 7.760658 18
37 7.760658 18
38 7.760658 18
39 7.760658 18
40 7.760658 18
41 7.760658 18
42 7.760658 18
43 7.760658 18
44 7.760658 18
45 12.497999 18
46 12.497999 18
47 12.497999 18
48 12.497999 18
49 12.497999 18
50 12.497999 18
51 12.497999 18
52 12.497999 18
53 12.497999 18
54 12.497999 18
55 12.497999 18
56 12.497999 18
57 12.497999 18
58 12.497999 18
59 12.497999 18
60 12.497999 18
61 12.497999 18
62 12.497999 18
63 12.497999 18
64 12.497999 18
65 12.497999 18
66 12.497999 18
67 12.497999 18
68 12.497999 18
69 12.497999 18
70 12.497999 18
71 12.497999 18
72 12.497999 18
73 12.497999 18
74 12.497999 18
75 12.497999 18
76 12.497999 18
77 12.497999 18
78 12.497999 18
79 12.497999 18
80 12.497999 18
81 12.497999 18
82 12.497999 18
83 12.497999 18
84 12.497999 18
85 12.497999 18
86 12.497999 18
87 12.497999 18
88 12.497999 18
89 12.497999 18
90 12.497999 18
91 12.497999 18
92 12.497999 18
93 12.497999 18
94 12.497999 18
95 12.497999 18
96 12.497999 18
97 12.497999 18
98 12.497999 18
99 12.497999 18
100 12.497999 18
101 12.497999 18
102 12.497999 18
