# iter evaluations best_consensus history_archive_size consensus_archive_size party0_clusters party1_clusters
0 1205 7.9192757750 770 0 12 12
10 7455 71.2932173111 1890 1 12 12
20 13705 83.6385729861 2793 4 12 12
30 19955 88.1111003497 4011 4 12 12
40 26205 90.4886448029 5283 4 12 12
50 32455 90.5694996715 6430 5 12 12
60 38600 90.5694996715 7530 5 12 7
70 43674 90.5694996715 8324 5 11 7
80 47929 90.5694996715 8938 5 6 7
90 51638 90.5694996715 9435 5 6 6
100 55557 90.5694996715 9975 5 6 7
110 59329 90.5694996715 10497 5 5 6
120 62849 90.5694996715 10924 5 5 6
130 66369 90.5694996715 11352 5 5 6
140 70078 90.5694996715 11828 5 5 7
150 73787 90.5694996715 12303 5 5 6
160 77307 90.5694996715 12745 5 5 6
170 80827 90.5694996715 13181 5 5 6
180 84347 90.5694996715 13629 5 5 6
190 87867 90.5694996715 14073 5 5 6
200 91387 90.5694996715 14510 5 5 6
210 94907 90.5694996715 14942 5 5 6
220 98427 90.5694996715 15379 5 5 6
225 100000 90.5694996715 15573 5 5 6
