# iter best_consensus archive_size party0_clusters party1_clusters
0 89.2816382571 6 12 12
10 89.9864616158 11 6 12
20 89.9864616158 12 6 7
30 89.9934523533 13 5 7
40 89.9934523533 14 5 7
50 89.9991245216 14 6 7
60 89.9999527121 14 5 7
70 89.9999527121 14 5 7
80 89.9999527121 14 5 7
90 89.9999981992 14 5 7
100 89.9999981992 14 5 7
110 89.9999981992 14 5 7
120 89.9999992597 14 5 7
130 89.9999999749 14 5 7
140 89.9999999749 14 5 7
150 89.9999999951 14 5 7
160 89.9999999990 14 5 7
170 90.0000000000 14 5 7
180 90.0000000000 14 5 7
190 90.0000000000 14 5 7
200 90.0000000000 14 5 7
210 90.0000000000 14 5 7
219 90.0000000000 14 5 7
