# iter best_consensus archive_size party0_clusters party1_clusters
0 9.3206836050 0 12 12
10 10.5345569363 0 12 12
20 16.1897588825 0 12 12
30 20.6350558205 0 12 12
40 33.9616470417 0 12 12
50 40.6871004365 0 12 12
60 84.9190799601 3 12 12
70 89.2528790429 9 12 12
80 89.2528790429 11 12 12
90 89.8803518130 11 12 12
100 89.8803518130 12 12 12
110 89.8803518130 12 12 12
120 89.8898399925 12 12 12
130 89.9100449369 12 12 12
140 89.9326105201 13 12 12
150 89.9535206865 14 12 12
160 89.9626366285 14 12 12
170 89.9783145170 14 12 12
180 89.9842727578 14 12 12
190 89.9924303768 14 12 12
200 89.9952279294 14 12 12
210 89.9972940162 14 12 12
219 89.9980557180 15 12 12
