# iter evaluations best_consensus history_archive_size consensus_archive_size party0_clusters party1_clusters
0 1205 1.4442328275 624 0 12 12
10 7455 1.4442328275 626 0 12 12
20 13705 1.4442328275 626 0 12 12
30 19955 1.4449337950 629 0 12 12
40 26205 1.5738908276 658 0 12 12
50 32455 2.9896612979 800 0 12 12
60 38705 6.7054383219 1244 0 12 12
70 44955 16.7417398812 1584 0 12 12
80 51205 19.2114930414 1873 0 12 12
90 57455 41.8024997779 2126 0 12 12
100 63705 50.3876454628 2407 0 12 12
110 69955 62.4986082112 2698 0 12 12
120 76205 70.9111919199 3193 1 12 12
130 82455 78.6169603857 4047 2 12 12
140 88705 81.6633383322 5017 4 12 12
150 94955 83.9365708666 5973 5 12 12
159 100000 86.1373622269 6763 7 12 0
