# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus
0.1857142864 0.2428571442 -2.1999999949 -1.7999999904 90.0000000000 89.0000000000 89.0000000000
0.5001663164 0.7423762828 0.0011642148 1.6966339796 87.9983011922 89.9978720568 87.9983011922
0.2006969569 0.2343608708 -2.0951213020 -1.8594739043 86.5283912187 87.3046499374 86.5283912187
0.4665020574 0.7419296590 -0.2344855982 1.6935076131 83.6763863488 83.7032602695 83.6763863488
0.5353588091 0.7430293548 0.2475116637 1.7012054838 83.2024271430 83.0201524463 83.0201524463
0.1655848305 0.2146554082 -2.3409061867 -1.9974121424 82.7493227656 82.2911196057 82.2911196057
0.2004680289 0.2745913036 -2.0967237976 -1.5778608746 85.0605673569 82.1438604703 82.1438604703
0.1645006322 0.2708851866 -2.3484955748 -1.6038036941 82.1406731207 82.1059284918 82.1059284918
0.4901385876 0.7723638455 -0.0690298866 1.9065469186 81.8556470535 82.3705172404 81.8556470535
0.5080172618 0.7126953027 0.0561208328 1.4888671186 81.7267724283 82.2415828980 81.7267724283
0.5263090684 0.7750215622 0.1841634785 1.9251509357 78.6869646711 78.0478295300 78.0478295300
0.2010128001 0.1985813086 -2.0929103990 -2.1099308396 83.2608535287 77.0792832429 77.0792832429
0.4697949200 0.7093820509 -0.2114355598 1.4656743560 77.3920403210 76.3228966794 76.3228966794
0.5447786107 0.7199079246 0.3134502748 1.5393554720 77.1912475959 75.2307569924 75.2307569924
0.8000252920 0.3570846944 2.1001770441 -1.0004071391 77.2869876863 73.9999795928 73.9999795928
0.4532351284 0.7750540290 -0.3273541015 1.9253782033 73.5739972002 70.8533161227 70.8533161227
0.1790126329 0.3048225975 -2.2469115697 -1.3662418172 82.8661813571 68.9700100803 68.9700100803
0.8038110590 0.3918382164 2.1266774127 -0.7571324851 69.9639740036 68.4763402036 68.4763402036
0.7799233971 0.3313420776 1.9594637794 -1.1806054569 73.9359337514 68.2422358752 68.2422358752
0.1442054086 0.2497732733 -2.4905621395 -1.7515870867 67.2063281624 79.3802605970 67.2063281624
0.8257590731 0.3329852923 2.2803135120 -1.1691029542 69.3533982849 66.8958582247 66.8958582247
0.2275765207 0.2570307294 -1.9069643551 -1.7007848939 66.6730353221 78.4373243373 66.6730353221
0.7715717843 0.3781415253 1.9010024904 -0.8530093232 74.6859577001 66.5673181447 66.5673181447
0.1790126409 0.1765990438 -2.2469115136 -2.2638066936 81.9801133822 66.5223942482 66.5223942482
0.4311096456 0.7404401718 -0.4822324805 1.6830812029 71.0999483653 66.2101878187 66.2101878187
0.2227322551 0.2994280434 -1.9408742143 -1.4040036963 67.0728759090 66.0275792773 66.0275792773
