# iter evaluations best_consensus history_archive_size consensus_archive_size party0_clusters party1_clusters
0 1205 89.2816382571 709 5 12 12
10 7455 89.9474928352 1699 9 12 12
20 13705 89.9942817557 2677 11 12 12
30 19955 89.9985788909 3632 11 12 12
40 26205 89.9990885788 4510 11 12 12
50 32455 89.9999612130 5361 13 12 12
60 38705 89.9999612130 6326 13 12 12
70 44955 89.9999777709 7144 13 12 12
80 51205 89.9999792926 7863 13 12 12
90 57455 89.9999990082 8748 14 12 12
100 63705 89.9999999928 9617 14 12 12
110 69472 89.9999999978 10434 14 12 9
120 74882 89.9999999984 11167 14 12 8
130 80292 89.9999999999 11898 15 12 8
140 85744 90.0000000000 12631 15 12 8
150 91175 90.0000000000 13336 15 12 8
160 96816 90.0000000000 14029 15 12 12
166 100000 90.0000000000 14322 15 12 0
