# generation best_consensus ca_size
0 28.090960 200
1 28.090960 200
2 28.090960 200
3 28.090960 200
4 28.090960 200
5 28.090960 200
6 28.090960 200
7 28.090960 200
8 28.090960 200
9 28.090960 200
10 28.090960 200
11 28.090960 200
12 37.217029 200
13 37.217029 200
14 37.217029 200
15 37.217029 200
16 37.217029 200
17 37.217029 200
18 37.217029 200
19 37.217029 200
20 37.217029 200
21 37.217029 200
22 37.217029 200
23 37.217029 200
24 37.217029 200
25 37.217029 200
26 37.217029 200
27 37.217029 200
28 37.217029 200
29 37.217029 200
30 37.217029 200
31 37.217029 200
32 37.217029 200
33 37.217029 200
34 37.217029 200
35 37.217029 200
36 37.217029 200
37 37.217029 200
38 37.217029 200
39 37.217029 200
40 48.340517 200
41 48.340517 200
42 48.340517 200
43 48.340517 200
44 48.340517 200
45 48.340517 200
46 48.340517 200
47 48.340517 200
48 48.340517 200
49 48.340517 200
50 48.340517 200
51 48.340517 200
52 48.340517 200
53 48.340517 200
54 48.340517 200
55 48.340517 200
56 48.340517 200
57 55.185874 200
58 55.185874 200
59 55.185874 200
60 55.185874 200
61 55.185874 200
62 55.185874 200
63 55.185874 200
64 55.185874 200
65 55.185874 200
66 55.185874 200
67 55.185874 200
68 55.185874 200
69 55.185874 200
70 55.185874 200
71 55.185874 200
72 55.185874 200
73 55.185874 200
74 55.185874 200
75 55.185874 200
76 55.185874 200
77 55.185874 200
78 55.185874 200
79 55.185874 200
80 55.185874 200
81 55.185874 200
82 55.185874 200
83 55.185874 200
84 55.185874 200
85 63.075758 200
86 63.075758 200
87 63.075758 200
88 63.075758 200
89 63.075758 200
90 63.075758 200
91 63.075758 200
92 63.075758 200
93 63.075758 200
94 63.075758 200
95 63.075758 200
96 63.075758 200
97 63.075758 200
98 63.075758 200
99 63.075758 200
100 70.159869 200
101 70.159869 200
102 70.159869 200
103 70.159869 200
104 70.159869 200
105 70.159869 200
106 70.159869 200
107 70.159869 200
108 70.159869 200
109 70.159869 200
110 70.159869 200
111 70.159869 200
112 70.159869 200
113 70.159869 200
114 70.159869 200
115 70.159869 200
116 70.159869 200
117 70.159869 200
118 70.159869 200
119 70.159869 200
120 70.159869 200
121 70.159869 200
122 70.159869 200
123 70.159869 200
124 70.159869 200
125 70.159869 200
126 70.159869 200
127 70.159869 200
128 70.159869 200
129 70.159869 200
130 70.159869 200
131 70.159869 200
132 70.159869 200
133 70.159869 200
134 70.159869 200
135 70.159869 200
136 70.159869 200
137 70.159869 200
138 70.159869 200
139 70.159869 200
140 70.159869 200
141 70.159869 200
142 70.159869 200
143 70.159869 200
144 70.159869 200
145 70.159869 200
146 70.159869 200
147 70.159869 200
148 70.159869 200
149 70.159869 200
150 70.159869 200
151 70.159869 200
152 70.159869 200
153 70.159869 200
154 70.159869 200
155 70.159869 200
156 70.159869 200
157 70.159869 200
158 70.159869 200
159 70.159869 200
160 70.159869 200
161 70.159869 200
162 70.159869 200
163 70.159869 200
164 70.159869 200
165 70.159869 200
166 70.159869 200
167 70.159869 200
168 70.159869 200
169 70.159869 200
170 70.159869 200
171 70.159869 200
172 70.159869 200
173 70.159869 200
174 70.159869 200
175 70.159869 200
176 70.159869 200
177 70.159869 200
178 70.159869 200
179 70.159869 200
180 70.159869 200
181 70.159869 200
182 70.159869 200
183 70.159869 200
184 70.159869 200
185 70.159869 200
186 70.159869 200
187 70.159869 200
188 70.159869 200
189 70.159869 200
190 70.159869 200
191 70.159869 200
192 70.159869 200
193 70.159869 200
194 70.159869 200
195 70.159869 200
196 70.159869 200
197 70.159869 200
198 70.159869 200
199 70.159869 200
200 70.159869 200
201 70.159869 200
202 70.159869 200
203 70.159869 200
204 70.159869 200
205 70.159869 200
206 70.159869 200
207 70.159869 200
208 70.159869 200
209 70.159869 200
210 70.159869 200
211 70.159869 200
212 70.159869 200
213 70.159869 200
214 70.159869 200
215 70.159869 200
216 70.159869 200
217 70.159869 200
218 70.159869 200
219 70.159869 200
220 70.159869 200
221 70.159869 200
222 70.159869 200
223 70.159869 200
224 70.159869 200
225 70.159869 200
226 70.159869 200
227 70.159869 200
228 70.159869 200
229 70.159869 200
230 70.159869 200
231 70.159869 200
232 70.159869 200
233 70.159869 200
234 70.159869 200
235 70.159869 200
236 70.159869 200
237 70.159869 200
238 70.159869 200
239 70.159869 200
240 70.159869 200
241 70.159869 200
242 70.159869 200
243 70.159869 200
244 70.159869 200
245 70.159869 200
246 70.159869 200
247 70.159869 200
248 70.159869 200
249 70.159869 200
250 70.159869 200
