# iter best_consensus archive_size party0_clusters party1_clusters
0 46.4783305078 0 12 12
10 89.1359401102 3 12 12
20 89.3379506860 3 12 12
30 89.9993301586 3 12 12
40 89.9993301586 4 12 12
50 89.9993301586 4 12 12
60 89.9993301586 4 12 12
70 89.9996311847 4 11 12
80 89.9999903763 4 4 8
90 89.9999942798 4 4 7
100 89.9999942798 4 4 7
110 89.9999991858 4 4 8
120 89.9999991858 4 4 7
130 89.9999998214 4 4 7
140 89.9999999369 4 4 7
150 89.9999999979 4 4 7
160 89.9999999979 4 4 7
170 89.9999999998 4 4 7
180 90.0000000000 4 4 7
190 90.0000000000 4 4 7
200 90.0000000000 4 4 7
210 90.0000000000 4 4 7
219 90.0000000000 4 4 7
