# gen=300 party=1 competing pops
# subpop x0..x(D-1) party_fit
0 0.884893 0.801392 78.102687
1 0.410738 0.486527 68.637390
1 0.301311 0.561333 24.971507
2 0.865241 0.328179 63.365365
3 0.042503 0.640959 60.716361
4 0.889050 0.834043 58.030742
5 0.846850 0.813131 57.859759
6 0.756260 0.710992 57.739919
7 0.342196 0.237386 56.867750
