# iter best_consensus archive_size party0_clusters party1_clusters
0 45.2590312419 0 12 12
10 86.2834605185 2 12 12
20 89.9566959827 8 12 12
30 89.9566959827 14 12 12
40 89.9566959827 14 12 12
50 89.9566959827 15 12 12
60 89.9880634687 15 12 12
70 89.9941812648 16 12 12
80 89.9954465565 17 7 12
90 89.9964452077 17 4 12
100 89.9977122602 17 4 12
110 89.9986421270 17 4 12
120 89.9995098723 18 4 4
130 89.9999181972 18 4 4
140 89.9999346873 18 4 4
150 89.9999923966 18 4 4
160 89.9999979480 18 4 4
170 89.9999979480 18 4 4
180 89.9999979480 18 4 4
190 89.9999997768 18 4 4
200 89.9999998094 19 4 4
210 89.9999998920 19 4 4
219 89.9999999507 19 4 4
