# gen=300 party=0 competing pops
# subpop x0..x(D-1) party_fit
0 0.933194 0.400727 89.037061
1 0.410154 0.634047 83.539194
2 0.885156 0.412567 82.684627
3 0.026985 0.306259 78.739206
4 0.427704 0.312207 69.880171
4 0.627665 0.261542 31.433373
5 0.181014 0.619163 69.050840
6 0.731122 0.117580 67.662475
7 0.800551 0.091762 64.374984
