# generation best_consensus ca_size
0 42.423784 200
1 42.423784 200
2 60.930243 200
3 83.927436 200
4 83.927436 200
5 83.927436 200
6 83.927436 200
7 83.927436 200
8 83.927436 200
9 83.927436 200
10 83.927436 200
11 83.927436 200
12 83.927436 200
13 83.927436 200
14 83.927436 200
15 83.927436 200
16 83.927436 200
17 83.927436 200
18 83.927436 200
19 83.927436 200
20 83.927436 200
21 83.927436 200
22 83.927436 200
23 83.927436 200
24 83.927436 200
25 83.927436 200
26 83.927436 200
27 83.927436 200
28 83.927436 200
29 83.927436 200
30 83.927436 200
31 83.927436 200
32 83.927436 200
33 83.927436 200
34 83.927436 200
35 83.927436 200
36 83.927436 200
37 83.927436 200
38 83.927436 200
39 83.927436 200
40 83.927436 200
41 83.927436 200
42 83.927436 200
43 83.927436 200
44 83.927436 200
45 83.927436 200
46 83.927436 200
47 83.927436 200
48 83.927436 200
49 83.927436 200
50 83.927436 200
51 83.927436 200
52 83.927436 200
53 83.927436 200
54 83.927436 200
55 83.927436 200
56 83.927436 200
57 83.927436 200
58 83.927436 200
59 83.927436 200
60 83.927436 200
61 83.927436 200
62 83.927436 200
63 83.927436 200
64 83.927436 200
65 83.927436 200
66 83.927436 200
67 83.927436 200
68 83.927436 200
69 83.927436 200
70 83.927436 200
71 83.927436 200
72 83.927436 200
73 83.927436 200
74 83.927436 200
75 83.927436 200
76 83.927436 200
77 83.927436 200
78 83.927436 200
79 83.927436 200
80 83.927436 200
81 83.927436 200
82 85.039315 200
83 85.039315 200
84 85.039315 200
85 85.039315 200
86 85.039315 200
87 85.039315 200
88 85.039315 200
89 85.039315 200
90 85.039315 200
91 85.039315 200
92 85.039315 200
93 85.039315 200
94 85.039315 200
95 85.039315 200
96 85.039315 200
97 85.039315 200
98 85.039315 200
99 85.039315 200
100 85.039315 200
101 85.039315 200
102 85.039315 200
103 85.039315 200
104 85.039315 200
105 85.039315 200
106 85.039315 200
107 85.039315 200
108 85.039315 200
109 85.039315 200
110 85.039315 200
111 85.039315 200
112 85.039315 200
113 85.039315 200
114 85.039315 200
115 85.039315 200
116 85.039315 200
117 85.039315 200
118 85.039315 200
119 85.039315 200
120 85.039315 200
121 85.039315 200
122 85.039315 200
123 85.039315 200
124 85.039315 200
125 85.039315 200
126 85.039315 200
127 85.039315 200
128 85.039315 200
129 85.039315 200
130 85.039315 200
131 85.039315 200
132 85.039315 200
133 85.039315 200
134 85.039315 200
135 85.039315 200
