# iter evaluations best_consensus history_archive_size consensus_archive_size party0_clusters party1_clusters
0 1205 5.1747359088 863 0 12 12
10 7455 14.3871696248 1256 0 12 12
20 13705 66.0113021977 1641 1 12 12
30 19955 84.3534472651 2265 3 12 12
40 26205 86.4441676209 3556 4 12 12
50 32455 88.7842120384 5300 4 12 12
60 38705 89.2503098629 6687 4 12 12
70 44955 89.7324149415 7771 4 12 12
80 51205 89.9239311090 8792 4 12 12
90 57455 89.9569485555 9838 4 12 12
100 63684 89.9790667946 10875 4 12 12
110 69640 89.9815774951 11884 4 12 9
120 74252 89.9963896607 12651 4 8 6
130 78465 89.9976725439 13402 4 7 7
140 82342 89.9992380975 14123 4 5 5
150 85694 89.9993887503 14751 4 5 5
160 88899 89.9997564909 15328 4 3 5
170 91474 89.9997564909 15861 4 2 4
180 95834 89.9998747124 16573 4 12 4
189 100000 89.9999233730 17267 4 12 6
