# generation best_consensus ca_size
0 0.260834 15
1 0.260834 15
2 0.260834 15
3 0.260834 15
4 0.260834 15
5 0.260834 15
6 0.260834 15
7 0.260834 15
8 0.260834 15
9 0.260834 15
10 0.260834 15
11 0.260834 15
12 0.260834 15
13 0.260834 15
14 0.260834 15
15 0.260834 15
16 0.260834 15
17 0.260834 15
18 0.260834 15
19 0.260834 15
20 0.260834 15
21 0.260834 15
22 0.260834 15
23 0.260834 15
24 0.260834 15
25 0.260834 15
26 0.260834 15
27 0.260834 15
28 0.260834 15
29 0.260834 15
30 0.260834 15
31 0.260834 15
32 0.260834 15
33 0.260834 15
34 0.260834 15
35 0.260834 15
36 0.260834 15
37 0.261004 15
38 0.261004 15
39 0.261004 15
40 0.261004 15
41 0.261004 15
42 0.261004 15
43 0.261004 15
44 0.261004 15
45 0.261004 15
46 0.261004 15
47 0.261004 15
48 0.261004 15
49 0.261004 15
50 0.261004 15
51 0.261004 15
52 0.261004 15
53 0.261004 15
54 0.261004 15
55 0.261004 15
56 0.261004 15
57 0.261004 15
58 0.261004 15
59 0.261004 15
60 0.261004 15
61 0.261004 15
62 0.261004 15
63 0.261004 15
64 0.268247 15
65 0.268247 15
66 0.268247 15
67 0.268247 15
68 0.268247 15
69 0.268247 15
70 0.268247 15
71 0.268247 15
72 0.268247 15
73 0.268247 15
74 0.268247 15
75 0.268247 15
76 0.268247 15
77 0.268247 15
78 0.268247 15
79 0.268247 15
80 0.268247 15
81 0.268247 15
82 0.268247 15
83 0.268247 15
84 0.268247 15
85 0.268247 15
86 0.268247 15
87 0.268247 15
88 0.268247 15
89 0.268247 15
90 0.268247 15
91 0.268247 15
92 0.268247 15
93 0.268247 15
94 0.268247 15
95 0.268247 15
96 0.268247 15
97 0.268247 15
98 0.268247 15
99 0.268247 15
100 0.268247 15
101 0.268247 15
102 0.268247 15
103 0.268247 15
104 0.268247 15
105 0.268247 15
106 0.268247 15
107 0.268247 15
108 0.268247 15
109 0.268247 15
110 0.268247 15
111 0.268247 15
112 0.268247 15
113 0.268247 15
114 0.268247 15
115 0.268247 15
116 0.268247 15
117 0.268247 15
118 0.268247 15
119 0.268247 15
120 0.268247 15
121 0.268247 15
122 0.268247 15
123 0.268247 15
124 0.268247 15
125 0.268247 15
