# iter best_consensus archive_size party0_clusters party1_clusters
0 85.2283193600 4 12 12
10 89.9056102383 14 12 12
20 89.9907337238 16 12 12
30 89.9920400198 18 12 12
40 89.9966072481 18 12 12
50 89.9981554252 19 12 12
60 89.9993080323 19 12 12
70 89.9996144320 19 12 12
80 89.9999196883 20 12 12
90 89.9999196883 21 12 12
100 89.9999990196 22 12 12
110 89.9999990196 22 12 12
120 89.9999990196 22 12 12
130 89.9999999881 22 12 12
140 89.9999999881 22 12 12
150 89.9999999899 22 12 12
160 89.9999999976 23 12 12
170 89.9999999985 23 12 12
180 89.9999999999 23 12 12
190 90.0000000000 23 12 12
200 90.0000000000 23 12 12
210 90.0000000000 23 12 12
219 90.0000000000 23 12 12
