# iter evaluations best_consensus history_archive_size consensus_archive_size party0_clusters party1_clusters
0 1205 78.5707991468 631 1 12 12
10 7455 87.4865159276 1074 9 12 12
20 13705 89.6968702195 1786 14 12 12
30 19955 89.9964255962 2651 16 12 12
40 26205 89.9964255962 3495 19 12 12
50 32455 89.9964255962 4301 22 12 12
60 38705 89.9964255962 5111 24 12 12
70 44955 89.9964255962 5897 26 12 12
80 51205 89.9964255962 6672 26 12 12
90 57455 89.9964255962 7444 26 12 12
100 63705 89.9964255962 8225 26 12 12
110 69955 89.9964255962 9031 26 12 12
120 76205 89.9964255962 9789 26 12 12
130 82455 89.9964255962 10578 26 12 12
140 88705 89.9964255962 11351 26 12 12
150 94955 89.9964255962 12118 26 12 12
159 100000 89.9964255962 12744 27 12 0
