# iter evaluations best_consensus history_archive_size consensus_archive_size party0_clusters party1_clusters
0 1205 24.0901795674 737 0 12 12
10 7455 86.7238020086 1031 3 12 12
20 13705 88.7445621441 2120 5 12 12
30 19955 89.3821174345 3686 5 12 12
40 26205 89.9906483019 5269 6 12 12
50 32455 89.9906483019 6884 6 12 12
60 38705 89.9994223173 8041 6 12 12
70 44178 89.9998331228 8999 6 7 12
80 49420 89.9999625213 9910 6 7 12
90 54599 89.9999825753 10842 6 6 12
100 59169 89.9999935912 11644 6 5 12
110 64180 89.9999986900 12509 6 8 10
120 68960 89.9999998342 13348 6 6 9
130 73152 89.9999998977 14094 6 6 8
140 77113 89.9999999831 14814 6 6 7
150 81074 89.9999999944 15505 6 6 7
160 84909 89.9999999976 16198 6 6 6
170 88639 89.9999999991 16888 6 6 6
180 92369 89.9999999998 17578 6 6 6
190 96225 89.9999999999 18299 6 6 7
200 100000 90.0000000000 18963 6 6 6
