# generation best_consensus ca_size
0 28.337672 200
1 73.483362 200
2 73.483362 200
3 73.483362 200
4 73.483362 200
5 73.483362 200
6 73.483362 200
7 73.483362 200
8 73.890420 200
9 73.890420 200
10 73.890420 200
11 73.890420 200
12 73.890420 200
13 73.890420 200
14 73.890420 200
15 73.890420 200
16 73.890420 200
17 73.890420 200
18 73.890420 200
19 73.890420 200
20 73.890420 200
21 73.890420 200
22 73.890420 200
23 73.890420 200
24 73.890420 200
25 73.890420 200
26 73.890420 200
27 73.890420 200
28 73.890420 200
29 73.890420 200
30 73.890420 200
31 73.890420 200
32 73.890420 200
33 73.890420 200
34 73.890420 200
35 73.890420 200
36 73.890420 200
37 73.890420 200
38 73.890420 200
39 73.890420 200
40 73.890420 200
41 73.890420 200
42 73.890420 200
43 73.890420 200
44 73.890420 200
45 73.890420 200
46 73.890420 200
47 73.890420 200
48 73.890420 200
49 73.890420 200
50 73.890420 200
51 73.890420 200
52 73.890420 200
53 73.890420 200
54 73.890420 200
55 73.890420 200
56 73.890420 200
57 73.890420 200
58 73.890420 200
59 73.890420 200
60 73.890420 200
61 73.890420 200
62 73.890420 200
63 73.890420 200
64 73.890420 200
65 73.890420 200
66 84.777635 200
67 84.777635 200
68 84.777635 200
69 84.777635 200
70 84.777635 200
71 84.777635 200
72 84.777635 200
73 84.777635 200
74 84.777635 200
75 84.777635 200
76 84.777635 200
77 84.777635 200
78 84.777635 200
79 84.777635 200
80 84.777635 200
