# generation best_consensus ca_size
0 5.652415 2
1 5.652415 2
2 5.652415 2
3 12.948834 2
4 12.948834 2
5 12.948834 2
6 12.948834 2
7 12.948834 2
8 12.948834 2
9 12.948834 2
10 12.948834 2
11 12.948834 2
12 12.948834 2
13 12.948834 2
14 12.948834 2
15 12.948834 2
16 12.948834 2
17 12.948834 2
18 25.317930 2
19 25.317930 2
20 80.556014 2
21 80.556014 2
22 80.556014 2
23 80.556014 2
24 80.556014 2
25 80.556014 2
26 84.761603 2
27 84.761603 2
28 84.761603 2
29 84.761603 2
30 84.761603 2
31 84.761603 2
32 84.761603 2
33 84.761603 2
34 84.761603 2
35 84.761603 2
36 84.761603 2
37 84.761603 2
38 84.761603 2
39 84.761603 2
40 84.761603 2
41 84.761603 2
42 84.761603 2
43 84.761603 2
44 84.761603 2
45 84.761603 2
46 84.761603 2
47 84.761603 2
48 84.761603 2
49 84.761603 2
50 84.761603 2
51 84.761603 2
52 84.761603 2
