# iter best_consensus archive_size party0_clusters party1_clusters
0 0.0364180652 0 12 12
10 0.0364180652 0 180 180
20 0.0364180652 0 180 180
30 0.0364180652 0 180 180
40 0.0364180652 0 180 180
50 0.0364180652 0 180 180
60 0.0364180652 0 180 180
70 0.0364180652 0 180 180
80 0.0364180652 0 180 180
90 0.0364180652 0 180 180
100 0.0364180652 0 180 180
110 0.0364180652 0 180 180
120 0.0364180652 0 180 180
130 0.0364180652 0 180 180
140 0.0364180652 0 180 180
150 0.0364180652 0 180 180
160 0.0364180652 0 180 180
170 0.0364180652 0 180 180
180 0.0364180652 0 180 180
190 0.0364180652 0 180 180
200 0.0364180652 0 180 180
210 0.0364180652 0 180 180
219 0.0364180652 0 180 180
